route_id,fare_per_km,avg_fare_per_km,fare_amount,trip_distance
100_1,6.916322314049587,5.218406721297255,133.9,19.36
100_1,7.163493105712409,5.218406721297255,109.1,15.23
100_1,6.7267441860465125,5.218406721297255,115.7,17.2
100_1,6.706372840976772,5.218406721297255,112.6,16.79
100_1,7.614213197969543,5.218406721297255,120.0,15.76
100_1,7.1286141575274184,5.218406721297255,143.0,20.06
100_1,6.393921683226184,5.218406721297255,109.4,17.11
100_1,6.788461538461539,5.218406721297255,105.9,15.6
100_1,6.9393939393939394,5.218406721297255,137.4,19.8
100_1,7.115044247787611,5.218406721297255,120.6,16.95
100_1,7.314218841427736,5.218406721297255,125.0,17.09
100_1,6.768478924862553,5.218406721297255,110.8,16.37
100_107,11.47887323943662,7.982213681001272,16.3,1.42
100_107,12.206896551724137,7.982213681001272,17.7,1.45
100_107,14.051724137931036,7.982213681001272,16.3,1.16
100_107,11.875,7.982213681001272,11.4,0.96
100_107,12.8125,7.982213681001272,20.5,1.6
100_107,12.82051282051282,7.982213681001272,10.0,0.78
100_107,13.46938775510204,7.982213681001272,19.8,1.47
100_107,14.825174825174825,7.982213681001272,21.2,1.43
100_107,11.419354838709676,7.982213681001272,17.7,1.55
100_107,12.555555555555555,7.982213681001272,22.6,1.8
100_107,17.135135135135133,7.982213681001272,31.7,1.85
100_107,11.777777777777777,7.982213681001272,21.2,1.8
100_107,12.391304347826086,7.982213681001272,11.4,0.92
100_107,12.375,7.982213681001272,19.8,1.6
100_107,12.993197278911566,7.982213681001272,19.1,1.47
100_107,11.711229946524062,7.982213681001272,21.9,1.87
100_107,13.828125,7.982213681001272,17.7,1.28
100_107,13.237410071942445,7.982213681001272,18.4,1.39
100_107,12.555555555555555,7.982213681001272,22.6,1.8
100_107,11.36,7.982213681001272,14.2,1.25
100_107,12.040816326530612,7.982213681001272,17.7,1.47
100_107,12.058823529411764,7.982213681001272,20.5,1.7
100_114,10.732984293193718,7.106641811334259,20.5,1.91
100_114,11.89655172413793,7.106641811334259,34.5,2.9
100_114,13.322259136212626,7.106641811334259,40.1,3.01
100_114,9.647577092511012,7.106641811334259,21.9,2.27
100_114,9.433198380566802,7.106641811334259,23.3,2.47
100_114,9.939024390243903,7.106641811334259,16.3,1.64
100_114,9.55,7.106641811334259,19.1,2.0
100_116,6.334913112164297,4.8242199102913474,40.1,6.33
100_116,6.023489932885906,4.8242199102913474,35.9,5.96
100_127,5.208121827411167,4.366910294817848,51.3,9.85
100_129,6.917510853835021,5.118090959622792,47.8,6.91
100_129,6.925373134328358,5.118090959622792,46.4,6.7
100_137,13.076923076923077,8.725492161455824,17.0,1.3
100_137,15.916666666666668,8.725492161455824,19.1,1.2
100_137,13.615384615384615,8.725492161455824,17.7,1.3
100_137,12.872340425531915,8.725492161455824,12.1,0.94
100_137,13.492822966507177,8.725492161455824,28.2,2.09
100_137,13.294117647058824,8.725492161455824,22.6,1.7
100_137,13.098591549295776,8.725492161455824,9.3,0.71
100_137,14.835164835164834,8.725492161455824,13.5,0.91
100_137,13.252032520325203,8.725492161455824,16.3,1.23
100_137,16.142857142857146,8.725492161455824,22.6,1.4
100_137,14.545454545454547,8.725492161455824,12.8,0.88
100_137,14.18181818181818,8.725492161455824,15.6,1.1
100_137,15.277777777777777,8.725492161455824,27.5,1.8
100_137,17.864077669902912,8.725492161455824,18.4,1.03
100_137,12.8,8.725492161455824,12.8,1.0
100_137,16.575342465753426,8.725492161455824,12.1,0.73
100_137,19.545454545454543,8.725492161455824,8.6,0.44
100_138,7.128309572301426,4.53557089017625,70.0,9.82
100_138,6.519558676028084,4.53557089017625,65.0,9.97
100_138,6.4292779426310585,4.53557089017625,65.0,10.11
100_138,6.572295247724974,4.53557089017625,65.0,9.89
100_138,5.894519131334023,4.53557089017625,57.0,9.67
100_138,6.10134436401241,4.53557089017625,59.0,9.67
100_138,6.321839080459771,4.53557089017625,55.0,8.7
100_138,7.157464212678937,4.53557089017625,70.0,9.78
100_138,7.209062821833161,4.53557089017625,70.0,9.71
100_138,5.875486381322958,4.53557089017625,60.4,10.28
100_138,6.467661691542288,4.53557089017625,65.0,10.05
100_138,6.325051759834369,4.53557089017625,61.1,9.66
100_138,5.912280701754386,4.53557089017625,67.4,11.4
100_138,5.989847715736041,4.53557089017625,59.0,9.85
100_138,6.728778467908903,4.53557089017625,65.0,9.66
100_138,5.989473684210526,4.53557089017625,56.9,9.5
100_138,6.3971340839304,4.53557089017625,62.5,9.77
100_138,5.795586527293844,4.53557089017625,49.9,8.61
100_138,7.728571428571429,4.53557089017625,54.1,7.0
100_138,6.901669758812617,4.53557089017625,74.4,10.78
100_138,5.849941383352872,4.53557089017625,49.9,8.53
100_138,6.6941297631307926,4.53557089017625,65.0,9.71
100_138,6.643073811931243,4.53557089017625,65.7,9.89
100_138,5.883554647599592,4.53557089017625,57.6,9.79
100_138,6.193806193806194,4.53557089017625,62.0,10.01
100_138,6.506506506506506,4.53557089017625,65.0,9.99
100_138,7.0200000000000005,4.53557089017625,70.2,10.0
100_138,6.707946336429309,4.53557089017625,65.0,9.69
100_140,12.616487455197133,7.072551154112739,35.2,2.79
100_140,12.731277533039647,7.072551154112739,28.9,2.27
100_140,11.224489795918366,7.072551154112739,27.5,2.45
100_140,10.731707317073171,7.072551154112739,35.2,3.28
100_140,10.610328638497654,7.072551154112739,22.6,2.13
100_140,12.071428571428571,7.072551154112739,33.8,2.8
100_140,11.868131868131867,7.072551154112739,32.4,2.73
100_140,11.768488745980708,7.072551154112739,36.6,3.11
100_140,10.689655172413794,7.072551154112739,31.0,2.9
100_140,16.363636363636363,7.072551154112739,45.0,2.75
100_140,11.760869565217392,7.072551154112739,54.1,4.6
100_140,10.78512396694215,7.072551154112739,26.1,2.42
100_140,12.44343891402715,7.072551154112739,27.5,2.21
100_140,14.158878504672897,7.072551154112739,30.3,2.14
100_140,10.846153846153845,7.072551154112739,28.2,2.6
100_140,11.404255319148936,7.072551154112739,26.8,2.35
100_140,12.565217391304348,7.072551154112739,28.9,2.3
100_140,14.473684210526317,7.072551154112739,27.5,1.9
100_142,300.0,8.994049988728879,3.0,0.01
100_143,14.213836477987421,7.589350530656543,22.6,1.59
100_143,13.142857142857142,7.589350530656543,18.4,1.4
100_143,31.96078431372549,7.589350530656543,16.3,0.51
100_143,11.719745222929935,7.589350530656543,18.4,1.57
100_143,12.589285714285714,7.589350530656543,28.2,2.24
100_143,13.480392156862745,7.589350530656543,27.5,2.04
100_143,15.257731958762887,7.589350530656543,29.6,1.94
100_143,13.714285714285714,7.589350530656543,24.0,1.75
100_145,12.263157894736842,5.975200682266715,23.3,1.9
100_145,9.87012987012987,5.975200682266715,38.0,3.85
100_146,9.493975903614457,5.952450772538429,39.4,4.15
100_151,7.393767705382437,5.718316739174384,26.1,3.53
100_151,7.282608695652174,5.718316739174384,26.8,3.68
100_151,7.3224043715847,5.718316739174384,26.8,3.66
100_151,7.837837837837838,5.718316739174384,26.1,3.33
100_151,7.6190476190476195,5.718316739174384,24.0,3.15
100_151,7.337662337662338,5.718316739174384,22.6,3.08
100_151,7.565922920892495,5.718316739174384,37.3,4.93
100_151,8.304597701149424,5.718316739174384,28.9,3.48
100_151,7.56544502617801,5.718316739174384,28.9,3.82
100_151,7.483443708609272,5.718316739174384,22.6,3.02
100_158,11.717791411042947,6.994956683970717,19.1,1.63
100_158,9.75,6.994956683970717,15.6,1.6
100_158,9.497206703910614,6.994956683970717,17.0,1.79
100_158,9.583333333333332,6.994956683970717,18.4,1.92
100_158,9.588235294117649,6.994956683970717,16.3,1.7
100_158,10.4,6.994956683970717,15.6,1.5
100_158,10.0,6.994956683970717,15.6,1.56
100_158,10.050761421319798,6.994956683970717,19.8,1.97
100_158,9.867549668874172,6.994956683970717,14.9,1.51
100_158,9.3125,6.994956683970717,14.9,1.6
100_158,11.10091743119266,6.994956683970717,12.1,1.09
100_158,12.5,6.994956683970717,24.0,1.92
100_158,9.833333333333332,6.994956683970717,17.7,1.8
100_158,9.3125,6.994956683970717,14.9,1.6
100_158,9.481481481481481,6.994956683970717,12.8,1.35
100_163,21.4,10.080562275532197,10.7,0.5
100_163,53.49999999999999,10.080562275532197,10.7,0.2
100_163,17.363636363636363,10.080562275532197,19.1,1.1
100_163,17.951807228915666,10.080562275532197,14.9,0.83
100_163,19.603960396039604,10.080562275532197,19.8,1.01
100_163,17.5609756097561,10.080562275532197,7.2,0.41
100_163,19.74576271186441,10.080562275532197,23.3,1.18
100_163,25.30864197530864,10.080562275532197,20.5,0.81
100_163,24.0,10.080562275532197,15.6,0.65
100_163,33.27272727272727,10.080562275532197,36.6,1.1
100_163,19.0,10.080562275532197,11.4,0.6
100_163,17.415730337078653,10.080562275532197,31.0,1.78
100_163,27.68115942028986,10.080562275532197,19.1,0.69
100_163,31.827956989247312,10.080562275532197,29.6,0.93
100_163,22.8125,10.080562275532197,21.9,0.96
100_163,34.13793103448276,10.080562275532197,19.8,0.58
100_163,20.857142857142854,10.080562275532197,21.9,1.05
100_163,18.25,10.080562275532197,21.9,1.2
100_163,20.123456790123456,10.080562275532197,16.3,0.81
100_163,18.61111111111111,10.080562275532197,26.8,1.44
100_163,17.923076923076923,10.080562275532197,23.3,1.3
100_163,22.124999999999996,10.080562275532197,17.7,0.8
100_163,17.333333333333332,10.080562275532197,15.6,0.9
100_163,18.795180722891565,10.080562275532197,15.6,0.83
100_163,22.577319587628864,10.080562275532197,21.9,0.97
100_163,20.82840236686391,10.080562275532197,35.2,1.69
100_163,23.269230769230766,10.080562275532197,12.1,0.52
100_163,17.363636363636363,10.080562275532197,19.1,1.1
100_163,27.479674796747965,10.080562275532197,33.8,1.23
100_163,17.974683544303797,10.080562275532197,14.2,0.79
100_163,18.346456692913385,10.080562275532197,23.3,1.27
100_163,17.516778523489933,10.080562275532197,26.1,1.49
100_163,17.87878787878788,10.080562275532197,17.7,0.99
100_163,17.53424657534247,10.080562275532197,12.8,0.73
100_163,17.29559748427673,10.080562275532197,27.5,1.59
100_163,18.625,10.080562275532197,14.9,0.8
100_163,18.05970149253731,10.080562275532197,12.1,0.67
100_163,20.33898305084746,10.080562275532197,24.0,1.18
100_163,19.043478260869566,10.080562275532197,21.9,1.15
100_163,20.0,10.080562275532197,19.8,0.99
100_163,17.333333333333332,10.080562275532197,15.6,0.9
100_163,20.632911392405063,10.080562275532197,16.3,0.79
100_163,16.862745098039216,10.080562275532197,8.6,0.51
100_163,18.365384615384617,10.080562275532197,19.1,1.04
100_163,16.875,10.080562275532197,13.5,0.8
100_163,17.363636363636363,10.080562275532197,19.1,1.1
100_163,18.2183908045977,10.080562275532197,31.7,1.74
100_163,20.862068965517242,10.080562275532197,12.1,0.58
100_163,19.13907284768212,10.080562275532197,28.9,1.51
100_163,17.52,10.080562275532197,21.9,1.25
100_163,20.882352941176467,10.080562275532197,14.2,0.68
100_163,18.54368932038835,10.080562275532197,19.1,1.03
100_163,25.393258426966295,10.080562275532197,22.6,0.89
100_163,16.984126984126984,10.080562275532197,10.7,0.63
100_168,6.4742589703588145,4.707053728444826,41.5,6.41
100_17,7.872611464968153,5.205493259381655,61.8,7.85
100_170,21.4,11.466943748903185,10.7,0.5
100_170,19.45945945945946,11.466943748903185,7.2,0.37
100_170,21.28571428571429,11.466943748903185,14.9,0.7
100_170,21.666666666666668,11.466943748903185,6.5,0.3
100_170,20.41095890410959,11.466943748903185,14.9,0.73
100_170,30.666666666666664,11.466943748903185,18.4,0.6
100_170,19.11764705882353,11.466943748903185,6.5,0.34
100_170,26.440677966101696,11.466943748903185,15.6,0.59
100_170,21.666666666666668,11.466943748903185,6.5,0.3
100_170,20.285714285714285,11.466943748903185,14.2,0.7
100_170,22.77777777777778,11.466943748903185,20.5,0.9
100_170,19.032258064516128,11.466943748903185,17.7,0.93
